id;authors;title;language_code;average_rating;ratings_count;work_ratings_count;work_text_reviews_count
837;David Levithan;Every Day (Every Day, #1);eng;3.99;121863;133960;15539
838;Orson Scott Card;Xenocide (Ender's Saga, #3);eng;3.77;104467;115183;3217
839;William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine;The Merchant of Venice;eng;3.78;115621;128289;2616
840;James Clavell;ShÅgun (Asian Saga, #1);eng;4.37;104339;115527;3075
841;J.R. Ward;Lover Awakened (Black Dagger Brotherhood, #3);eng;4.45;134249;142754;5926
842;Sarah J. Maas;A Court of Thorns and Roses (A Court of Thorns and Roses, #1);eng;4.29;167848;188723;25463
843;E.L. James;Fifty Shades Trilogy (Fifty Shades, #1-3);;4.13;76876;101613;6275
844;Bill Martin Jr., John Archambault, Lois Ehlert;Chicka Chicka Boom Boom;eng;4.21;105192;116089;3318
845;Raina Telgemeier;Smile;eng;4.19;98628;102804;6516
846;George Orwell, Christopher Hitchens;Animal Farm / 1984;eng;4.26;116197;118761;1293
847;Jacquelyn Mitchard;The Deep End of the Ocean (Cappadora Family, #1);en-US;3.84;102733;104471;1095
848;Amy Tan;The Bonesetter's Daughter;en-US;3.98;99926;105274;2871
849;Louise Rennison;Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1);eng;3.74;112733;118893;3833
850;Robin Sloan;Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1);eng;3.75;110552;127396;20150
851;V.C. Andrews;Flowers in the Attic (Dollanganger, #1);eng;3.79;109063;122259;6055
852;Paul Kalanithi, Abraham Verghese;When Breath Becomes Air;eng;4.32;116771;165673;15933
853;Jerry Spinelli;Maniac Magee;eng;3.86;99831;104657;3689
854;Chuck Palahniuk;Invisible Monsters;eng;4.0;54937;99936;4657
855;William Shakespeare;;;;;;
856;Lois Lowry;Gathering Blue (The Giver, #2);eng;3.8;114917;127810;9480
857;Ellen Raskin;The Westing Game;eng;4.03;117108;124343;7814
858;Pierce Brown;Red Rising (Red Rising, #1);eng;4.26;104939;128188;15775
859;Brent Weeks;The Way of Shadows (Night Angel, #1);en-US;4.15;109236;114492;4025
860;Barbara Kingsolver;The Bean Trees (Greer Family, #1);eng;3.94;105032;113568;5259
861;Jamie McGuire;Walking Disaster (Beautiful, #2);eng;4.23;134022;145114;11348
862;Brandon Sanderson;Words of Radiance (The Stormlight Archive, #2);eng;4.77;73572;108176;7261
863;Sam McBratney, Anita Jeram;Guess How Much I Love You;en-US;4.36;104690;107554;1326
864;Diana Gabaldon;The Fiery Cross (Outlander, #5);eng;4.26;103552;120438;5048
865;Stephen King, John D. MacDonald;Night Shift;en-GB;3.96;104248;112357;2038
866;Peter Benchley;Jaws;eng;3.96;102574;106201;2205
867;Nicole Krauss;The History of Love;eng;3.91;98379;103470;9622
868;Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn;Pippi Longstocking;eng;4.11;123065;130305;2615
869;Muriel Barbery, Alison Anderson;The Elegance of the Hedgehog;eng;3.73;101669;118556;15335
870;Doris Kearns Goodwin, Suzanne Toren;Team of Rivals: The Political Genius of Abraham Lincoln;eng;4.3;102923;107944;5875
871;Charlaine Harris;Dead in the Family (Sookie Stackhouse, #10);en-US;3.88;127379;138027;5325
872;Albert Camus, Stuart Gilbert;The Plague;en-US;3.97;95803;111823;3494
873;Lemony Snicket, Brett Helquist;The Reptile Room (A Series of Unfortunate Events, #2);eng;3.95;130213;141121;4863
874;Susannah Cahalan;Brain on Fire: My Month of Madness;eng;4.0;92849;103617;8593
875;Melissa Marr;Wicked Lovely (Wicked Lovely, #1);en-US;3.69;131034;136316;6591
876;H.A. Rey;Curious George;en-CA;4.13;105473;112467;845
877;Michael Ende, Ralph Manheim, Roswitha Quadflieg;The Neverending Story;eng;4.17;109110;124555;4303
878;Sylvia Nasar;A Beautiful Mind;en-GB;4.12;98276;100629;1100
879;Upton Sinclair, Earl Lee, Kathleen DeGrave;The Jungle;eng;3.72;97468;109522;4750
880;Kelley Armstrong;The Summoning (Darkest Powers, #1);en-US;4.03;132285;136832;5830
881;Oliver Sacks;The Man Who Mistook His Wife for a Hat and Other Clinical Tales;en-US;4.04;102419;111090;4238
882;Ken Follett;Eye of the Needle;en-US;4.16;93475;99971;1990
883;Margaret Atwood;The Blind Assassin;eng;3.95;98464;111284;5908
884;Ransom Riggs;Hollow City (Miss Peregrineâ€™s Peculiar Children, #2);eng;4.07;73149;132924;14221
885;Andre Dubus III;House of Sand and Fog;eng;3.83;55381;104803;3589
886;M.R. Carey;The Girl with All the Gifts;eng;3.93;99729;119493;14701
887;William Faulkner;As I Lay Dying;eng;3.72;103547;110705;5508
888;Crockett Johnson;Harold and the Purple Crayon;eng;4.24;107221;109752;1570
889;J.R. Ward;Lover Eternal (Black Dagger Brotherhood, #2);eng;4.35;137558;146205;5559
890;Isaac Asimov;Second Foundation (Foundation #3);eng;4.23;96865;105839;1675
891;Jim Butcher;Fool Moon (The Dresden Files, #2);eng;4.04;111371;122158;5269
892;Malcolm Gladwell;David and Goliath: Underdogs, Misfits, and the Art of Battling Giants;eng;3.9;90083;101707;7317
893;Hiromu Arakawa, Akira Watanabe;Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1);eng;4.49;93990;94768;1103
894;Terry Pratchett;Guards! Guards! (Discworld, #8);eng;4.32;108652;119069;2610
895;Joan Didion;The Year of Magical Thinking;eng;3.86;94590;99308;7729
896;Lionel Shriver;We Need to Talk About Kevin;eng;4.07;101343;113939;11369
897;Arthur C. Clarke;Rendezvous with Rama (Rama, #1);eng;4.06;93151;103414;2773
898;Anne Rice;The Queen of the Damned (The Vampire Chronicles, #3);eng;3.86;110693;117289;1921
899;Edith Wharton, Maureen Howard;The Age of Innocence;eng;3.93;102646;114994;5051
900;Richard Dawkins;The Selfish Gene;eng;4.11;96564;101017;2460
901;Geraldine Brooks;Year of Wonders;eng;4.0;104283;108029;8124
902;Michael Connelly;The Black Echo (Harry Bosch, #1;;;;;
903;Ayn Rand;Anthem;eng;3.62;95620;106766;7096
904;Sylvain Reynard;Gabriel's Inferno (Gabriel's Inferno, #1);eng;4.02;119633;127883;7192
905;Judi Barrett, Ron Barrett;Cloudy With a Chance of Meatballs;eng;4.15;104677;105520;1782
906;Helen Simonson;Major Pettigrew's Last Stand;eng;3.87;97745;109311;11386
907;Nora Roberts;Vision in White (Bride Quartet, #1);eng;4.1;103933;107747;3560
908;Jodi Picoult;The Tenth Circle;eng;3.48;99170;103155;5101
909;Rick Riordan;The Throne of Fire (Kane Chronicles, #2);eng;4.2;116360;123024;4900
910;John Scalzi;Old Man's War (Old Man's War, #1);eng;4.23;97653;109133;6878
911;Stephen King;Gerald's Game;eng;3.47;100158;105777;2445
912;Janet Evanovich;Two for the Dough (Stephanie Plum, #2);eng;4.11;116171;127548;4045
913;Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker;The Joy of Cooking;;4.14;102348;105920;1009
914;Joe Haldeman;The Forever War (The Forever War, #1);eng;4.15;87636;101775;4340
915;Stephen King, Bettina Blanch Tyroller;Insomnia;spa;3.79;100972;109444;2296
916;Azar Nafisi;Reading Lolita in Tehran;eng;3.57;94696;98413;6576
917;Joe Abercrombie;The Blade Itself (The First Law, #1);eng;4.14;97501;107614;5521
918;Eoin Colfer;The Arctic Incident (Artemis Fowl, #2);eng;3.94;108031;114867;2434
919;Annie Proulx;The Shipping News;eng;3.83;103151;109047;4044
920;Marie KondÅ, Cathy Hirano;The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;eng;3.77;105063;129409;17320
921;Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ;All the Bright Places;eng;4.19;132087;146542;21192
922;Kathy Reichs;DÃ©jÃ  Dead (Temperance Brennan, #1);eng;3.86;100369;107636;3098
923;Michael Scott;The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1);eng;3.84;58396;115864;7165
924;Jeffrey Eugenides;The Marriage Plot;eng;3.42;90551;99271;10634
925;Isabel Allende, Margaret Sayers Peden;Daughter of Fortune;eng;3.89;89770;96939;3142
926;Jessica Knoll;Luckiest Girl Alive;eng;3.48;82504;98163;9278
927;Ellen Hopkins;Crank (Crank, #1);eng;4.16;104168;105823;7239
928;Maggie Stiefvater;The Raven Boys (The Raven Cycle, #1);eng;4.05;121727;159696;20296
929;Richard Matheson;I Am Legend and Other Stories;eng;3.99;98795;102941;4383
930;Elizabeth Strout;Olive Kitteridge;eng;3.78;85019;108518;14175
931;Lena Dunham, Joana Avillez;"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""";eng;3.33;88251;97626;7732
932;James C. Collins;Good to Great: Why Some Companies Make the Leap... and Others Don't;eng;4.04;85277;88373;3100
933;Kristin Cashore;Fire (Graceling Realm, #2);en-US;4.12;98180;133462;9159
934;Samuel Beckett;Waiting for Godot;eng;3.81;98950;113243;3767
935;Jack London;White Fang;eng;3.94;100223;114519;3017
936;Stephen King, Bernie Wrightson;Wolves of the Calla (The Dark Tower, #5);eng;4.17;98182;109648;2874
937;Philip Pullman;His Dark Materials (His Dark Materials #1-3);eng;4.25;88227;102040;4499
938;J.A. Redmerski;The Edge of Never (The Edge of Never, #1);en-US;4.26;117508;127686;10763
939;Kimberly McCreight;Reconstructing Amelia;eng;3.82;86965;99269;10243
940;Jojo Moyes;One Plus One;eng;3.94;87412;105933;9884
941;Michael Cunningham;The Hours;en-US;3.91;97462;106608;4109
942;Alice Clayton;Wallbanger (Cocktail, #1);eng;4.1;134805;145610;11854
943;David Sedaris;Holidays on Ice;eng;3.95;82591;90898;4509
944;Stephen King;Desperation;eng;3.8;94821;100128;1787
945;Lauren Kate;Passion (Fallen, #3);eng;3.89;119735;125252;5464
946;James Dashner;The Kill Order (Maze Runner, #0.5);eng;3.69;96568;109441;8219
947;Susan Ee;Angelfall (Penryn & the End of Days, #1);en-US;4.19;73886;128028;13789
948;Richard Russo;Empire Falls;eng;3.91;90811;93054;3722
949;Robert Jordan;The Fires of Heaven (Wheel of Time, #5);en-US;4.13;93227;104317;1864
950;Jandy Nelson;I'll Give You the Sun;eng;4.14;140937;153584;16701
951;Chuck Palahniuk;Survivor;en-US;3.93;49551;88231;3078
952;Sophie Kinsella;Shopaholic & Baby (Shopaholic, #5);eng;3.77;98130;103621;2434
953;Stephen King;The Dark Tower (The Dark Tower, #7);en-US;4.27;93296;104085;3945
954;Catherine Hardwicke;Twilight Director's Notebook : The Story of How We Made the Movie Based on the Novel by Stephenie Meyer;en-US;4.2;88847;89383;417
955;Sophie Kinsella;Shopaholic Takes Manhattan (Shopaholic, #2);en-US;3.75;93498;100718;2785
956;Richard Feynman;Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character;en-US;4.29;91625;97719;3500
957;Maggie Stiefvater;Linger (The Wolves of Mercy Falls, #2);en-US;3.91;125363;133284;8784
958;L.M. Montgomery;The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8);;4.42;92142;93067;1438
959;James Joyce, Seamus Deane;A Portrait of the Artist as a Young Man;eng;3.6;92569;103232;3934
960;Robert Jordan, Brandon Sanderson;The Gathering Storm (Wheel of Time, #12);eng;4.34;94095;100343;2582
961;George Eliot, Michel Faber;Middlemarch;eng;3.93;95995;107160;5292
962;Colleen Hoover;Point of Retreat (Slammed, #2);eng;4.3;109344;124145;8186
963;John Grisham;The Partner;;3.89;86870;91921;1896
964;J.R.R. Tolkien;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;eng;4.59;90907;94348;1565
965;S.C. Stephens;Thoughtless (Thoughtless, #1);eng;4.12;90483;123867;8939
966;Scott Turow;Presumed Innocent;;4.1;91774;93835;1114
967;Stephen King;The Dark Half;eng;3.74;94624;99918;1357
968;Stacy Schiff;Cleopatra: A Life;eng;3.62;73994;76685;4534
969;Thomas L. Friedman;The World Is Flat: A Brief History of the Twenty-first Century;en-US;3.66;78271;83905;3277
970;Brandon Sanderson;Steelheart (The Reckoners, #1);eng;4.16;76261;102116;10160
971;Marcus Pfister, J. Alison James;The Rainbow Fish;en-US;4.15;95421;96218;1764
972;Jules Verne;Journey to the Center of the Earth (Extraordinary Voyages, #3);eng;3.84;89410;111100;3483
973;Gretchen Rubin;The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun;eng;3.57;94456;102878;10295
974;Philip K. Dick;The Man in the High Castle;eng;3.66;84180;108388;7689
975;Vincent Bugliosi, Curt Gentry;Helter Skelter: The True Story of the Manson Murders;en-GB;4.0;92158;94919;2510
976;Robert Kapilow, Dr. Seuss;Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra;;4.44;90574;90691;262
977;Dante Alighieri, Anthony M. Esolen;Inferno (The Divine Comedy #1);;3.99;87511;109200;3576
978;Deborah Harkness;Shadow of Night (All Souls Trilogy, #2);eng;4.04;97925;112860;11911
979;Jodi Picoult;Leaving Time;eng;3.94;76553;94584;11792
980;Patricia Briggs;Moon Called (Mercy Thompson, #1);eng;4.18;129150;136273;6493
981;Melissa de la Cruz;Blue Bloods (Blue Bloods, #1);en-US;3.68;116687;120989;4679
982;Caleb Carr;The Alienist (Dr. Laszlo Kreizler, #1);eng;4.05;96981;100908;4026
983;Ta-Nehisi Coates;Between the World and Me;eng;4.4;74218;102946;13113
984;John Milton, John      Leonard;Paradise Lost;eng;3.8;96316;104580;2645
985;Michael   Lewis;The Big Short: Inside the Doomsday Machine;en-US;4.26;37090;98272;5659
986;Stephen King;The Girl Who Loved Tom Gordon;;3.56;95768;103156;3281
987;Patrick Ness, Jim Kay, Siobhan Dowd;A Monster Calls;eng;4.36;104579;132593;24522
988;Robert Jordan, Brandon Sanderson;Towers of Midnight (Wheel of Time, #13);en-US;4.42;91383;98092;2356
989;Frederick Forsyth;The Day of the Jackal;eng;4.25;85883;89606;1439
990;Jason Fried, David Heinemeier Hansson;Rework;eng;3.93;88626;92318;2938
991;Rainbow Rowell;Attachments;eng;3.95;105414;119865;16114
992;Stephenie Meyer, Ilyana Kadushin, Matt Walters;The Twilight Saga (Twilight, #1-4);;3.88;89204;96811;3641
993;Carol Rifka Brunt;Tell the Wolves I'm Home;eng;4.04;85582;96546;11579
994;James Herriot;All Creatures Great and Small (All Creatures Great and Small, #1-2);eng;4.31;64779;98251;2770
995;Michelle Hodkin;The Unbecoming of Mara Dyer (Mara Dyer, #1);eng;4.09;83847;128632;14154
996;Janet Evanovich;Three to Get Deadly (Stephanie Plum, #3);en-US;4.14;113400;118305;2912
997;Emmuska Orczy;The Scarlet Pimpernel;eng;4.06;93217;104012;5087
998;Jon Stone, Michael J. Smollin;The Monster at the End of this Book;eng;4.45;102184;104970;2504
999;Judy Blume;Tales of a Fourth Grade Nothing (Fudge, #1);eng;4.09;106435;111139;2081
1000;Leigh Bardugo;Shadow and Bone (Shadow and Bone, #1);eng;4.05;135225;149447;17829
1001;Herman Koch, Sam Garrett;The Dinner;eng;3.22;74979;99070;14162
1002;Marie Lu;Champion (Legend, #3);eng;4.37;114623;123289;12759
1003;Carl Sagan;Contact;eng;4.11;90917;96012;2126
1004;Stephanie Perkins;Lola and the Boy Next Door (Anna and the French Kiss, #2);en-US;4.0;108370;123929;13224
1005;Zadie Smith;White Teeth;en-US;3.75;82474;90629;5347
1006;Chris Kyle, Scott McEwen, Jim DeFelice;American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History;eng;3.97;61422;82161;6851
1007;Chelsea Handler;My Horizontal Life: A Collection of One-Night Stands;en-GB;3.79;83607;89257;6051
1008;Pittacus Lore;The Power of Six (Lorien Legacies, #2);eng;4.17;97938;105723;5790
1009;Meg Wolitzer;The Interestings;eng;3.54;76566;84976;9534
1010;Bill Watterson;The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury;en-US;4.65;93001;95543;598
1011;Geraldine Brooks;People of the Book;eng;4.0;95796;101619;9936
1012;Kate Morton;The Secret Keeper;;4.13;89460;100731;11877
1013;Better Homes and Gardens;Better Homes and Gardens New Cook Book  ;;4.14;93640;95085;485
1014;Douglas Adams;So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4);eng;4.08;93774;109535;2020
1015;Hermann Hesse, Basil Creighton;Steppenwolf;eng;4.11;80769;97230;2993
1016;Tess Gerritsen;The Surgeon (Rizzoli & Isles, #1);en-GB;4.1;89468;98297;3212
1017;Jojo Moyes;The Girl You Left Behind;eng;3.95;80991;98231;7820
1018;Robin Hobb;Royal Assassin (Farseer Trilogy, #2);eng;4.21;82608;102563;2699
1019;Arthur C. Clarke;Childhood's End;en-US;4.09;87141;96751;3759
1020;Kate DiCamillo, Timothy Basil Ering;The Tale of Despereaux;en-US;4.0;113066;120423;8372
1021;Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser;Animal, Vegetable, Miracle: A Year of Food Life;en-US;4.03;83881;87904;10149
1022;Sarah J. Maas;Heir of Fire (Throne of Glass, #3);eng;4.53;123843;142858;16235
1023;Robert Jordan;Lord of Chaos (Wheel of Time, #6);eng;4.1;91046;97883;1796
1024;Alan Bradley;The Sweetness at the Bottom of the Pie (Flavia de Luce, #1);eng;3.81;99841;109533;13444
1025;Donald Miller;Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality;en-US;3.92;82090;83060;3546
1026;Diana Gabaldon;A Breath of Snow and Ashes (Outlander, #6);eng;4.43;87098;102765;4053
1027;Rick Riordan;The Blood of Olympus (The Heroes of Olympus, #5);eng;4.41;110719;125962;12234
1028;Liane Moriarty;Truly Madly Guilty;eng;3.55;90477;116339;11983
1029;Brian K. Vaughan, Fiona Staples;Saga, Vol. 1 (Saga, #1);eng;4.25;131906;134562;8697
1030;Chad Harbach;The Art of Fielding;eng;3.99;81712;89228;9610
1031;Ernest Hemingway;A Moveable Feast;eng;4.04;69992;90690;6350
1032;Brandon Mull;Fablehaven (Fablehaven, #1);eng;4.08;99390;104185;8486
1033;Lemony Snicket, Brett Helquist;The Wide Window (A Series of Unfortunate Events, #3);eng;3.91;118624;124211;3625
1034;Jim Butcher;Grave Peril (The Dresden Files, #3);eng;4.18;97736;106419;3975
1035;Walter Isaacson;Einstein: His Life and Universe;eng;4.08;71156;73821;2489
1036;S.C. Stephens;Effortless (Thoughtless, #2);eng;4.37;83085;106314;4350
1037;John Grisham;The Street Lawyer;eng;3.81;80577;86456;1912
1038;Mildred D. Taylor;Roll of Thunder, Hear My Cry (Logans, #4);eng;3.79;92980;96821;3811
1039;Seth Grahame-Smith, Jane Austen;Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1);eng;3.28;103995;110252;12184
1040;David Sedaris;Let's Explore Diabetes with Owls;eng;3.8;81616;90335;7959
1041;Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky;The Idiot;eng;4.18;74642;91393;3312
1042;Douglas Adams;Dirk Gently's Holistic Detective Agency (Dirk Gently #1);en-US;3.97;89569;96230;2408
1043;Jeff Kinney;Rodrick Rules (Diary of a Wimpy Kid, #2);en-US;4.1;91831;98543;5808
1044;Mindy Kaling;Why Not Me?;eng;3.89;74199;106929;7736
1045;Veronica Roth;Four: A Divergent Story Collection (Divergent, #0.1 - 0.4);eng;4.1;97058;116243;9213
1046;Aziz Ansari, Eric Klinenberg;Modern Romance;eng;3.85;94231;105957;10334
1047;Katherine Applegate, Patricia Castelao;The One and Only Ivan;eng;4.24;85136;89381;9991
1048;Sebastian Junger;The Perfect Storm: A True Story of Men Against the Sea;en-US;4.07;45382;86954;1416
1049;Brandon Sanderson;Elantris (Elantris, #1);eng;4.17;95950;105780;6438
1050;Patrick Ness;The Knife of Never Letting Go (Chaos Walking, #1);eng;3.96;99638;112899;12462
1051;Jim Fergus;One Thousand White Women: The Journals of May Dodd (One Thousand White Women#1);eng;3.88;84367;89675;7065
1052;Jodi Picoult;Handle with Care;eng;3.96;90138;95952;7443
1053;Stephen King, Darrel Anderson;Song of Susannah (The Dark Tower, #6);eng;3.98;84957;95650;2508
1054;Ally Condie;Reached (Matched, #3);;3.56;109290;117859;10280
1055;Salman Rushdie;Midnight's Children;eng;3.99;75502;84514;4917
1056;Max Brooks;The Zombie Survival Guide: Complete Protection from the Living Dead;eng;3.86;82535;86837;3545
1057;John Grisham;The Testament;;3.83;80377;86213;2264
1058;Agatha Christie;Murder at the Vicarage (Miss Marple, #1);eng;4.03;93963;100137;2199
1059;Margaret Peterson Haddix;Among the Hidden (Shadow Children, #1);eng;3.97;94478;96951;5148
1060;Michael Pollan;In Defense of Food: An Eater's Manifesto;en-US;4.07;80434;85793;7003
1061;Elizabeth George Speare;The Witch of Blackbird Pond;en-US;3.97;105770;112667;4782
1062;Kiera Cass;The Heir (The Selection, #4);eng;3.85;111044;126852;14043
1063;Sophie Kinsella;Shopaholic Ties the Knot (Shopaholic, #3);eng;3.77;88139;93578;2306
1064;Wilkie Collins, Matthew Sweet;The Woman in White;eng;3.98;93134;103301;5668
1065;Robert Galbraith, J.K. Rowling;Career of Evil (Cormoran Strike, #3);eng;4.21;66979;95274;10254
1066;Jenny Han;The Summer I Turned Pretty (Summer, #1);en-US;3.96;104730;110967;8448
1067;Janet Evanovich;Four to Score (Stephanie Plum, #4);en-US;4.17;106871;111633;2527
1068;James McBride;The Color of Water: A Black Man's Tribute to His White Mother;en-US;4.06;80906;83888;4174
1069;Steven D. Levitt, Stephen J. Dubner;SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance;en-US;3.95;85006;94086;3949
1070;Karen Marie Moning;Darkfever (Fever, #1);eng;4.14;110812;123927;8554
1071;Terry Goodkind;Stone of Tears (Sword of Truth, #2);en-US;4.1;83235;89987;1519
1072;Emily Giffin;Heart of the Matter;en-US;3.73;83461;87618;4176
1073;William Makepeace Thackeray, John Carey;Vanity Fair;eng;3.76;91323;97978;2598
1074;Kurt Vonnegut Jr.;The Sirens of Titan;en-GB;4.16;72493;83867;3241
1075;Stephen King, Dominique Dill;Dolores Claiborne;fre;3.81;71053;98959;1718
1076;Cynthia D'Aprix Sweeney;The Nest;eng;3.45;79762;96364;10214
1077;Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean;Fables, Vol. 1: Legends in Exile;eng;3.99;101016;104260;2845
1078;David    Allen;Getting Things Done: The Art of Stress-Free Productivity;en-GB;3.98;75665;82166;3586
1079;James Redfield;The Celestine Prophecy (Celestine Prophecy, #1);en-US;3.6;72675;77657;3229
1080;Huntley Fitzpatrick;My Life Next Door;eng;4.02;102012;108389;8327
1081;Ken Follett;Winter of the World (The Century Trilogy #2);eng;4.29;71971;88328;6821
1082;Haruki Murakami, Philip Gabriel;Colorless Tsukuru Tazaki and His Years of Pilgrimage;eng;3.82;67873;86134;8264
1083;Alice Sebold;Lucky;eng;3.77;77462;82636;3856
1084;Virginia Woolf;To the Lighthouse;eng;3.76;83066;95572;4775
1085;Chetan Bhagat;Five Point Someone;en-GB;3.43;67438;69052;1786
1086;Laurell K. Hamilton;Guilty Pleasures (Anita Blake, Vampire Hunter, #1);eng;4.02;104252;115174;4842
1087;Markus Zusak;I Am the Messenger;en-US;4.09;93119;104510;11483
1088;Thomas Hardy, Rosemarie Morgan, Shannon Russell;Far from the Madding Crowd;eng;3.92;87427;97459;4277
1089;Terry Pratchett;Equal Rites (Discworld, #3;;;;;
1090;Mark Z. Danielewski;House of Leaves;eng;4.13;75469;88731;8113
1091;Patricia Cornwell;Cruel & Unusual (Kay Scarpetta, #4);nl;4.11;83695;86940;690
1092;John Grisham;Sycamore Row;eng;3.98;56315;83185;8733
1093;P.C. Cast, Kristin Cast;Awakened (House of Night, #8);en-US;4.02;101234;107548;3014
1094;Willa Cather;My Ãntonia;eng;3.76;81102;101039;5860
1095;Susan Beth Pfeffer;Life As We Knew It (Last Survivors, #1);eng;3.89;94282;98669;8461
1096;Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms;America (The Book): A Citizen's Guide to Democracy Inaction;eng;4.02;74511;79555;1378
1097;Don Piper, Cecil Murphey;90 Minutes in Heaven: A True Story of Death and Life;;3.91;67937;69968;3056
1098;Nicholas Sparks;The Longest Ride;eng;4.14;71276;88683;8692
1099;Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe;Tao Te Ching;eng;4.31;39863;80961;3165
1100;Jeffrey Archer;Kane and Abel (Kane and Abel, #1);en-US;4.27;74052;79184;2779
1101;Jodi Picoult;Change of Heart;en-US;3.91;86471;90401;5881
1102;Augusten Burroughs;Dry;eng;4.01;70550;73886;3148
1103;James Patterson;Sam's Letters to Jennifer;;4.15;77538;79471;2238
1104;E.L. James;Grey (Fifty Shades, #4);en-GB;3.76;75320;104752;10218
1105;Frank Herbert;Dune Messiah (Dune Chronicles #2);eng;3.86;82580;90432;2283
1106;C.S. Lewis;The Great Divorce;en-US;4.28;75031;80763;3847
1107;Jennifer Weiner;Little Earthquakes;;3.76;77592;80501;2425
1108;Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter;The Complete Fairy Tales;eng;4.28;90999;94395;544
1109;Mark Cotta Vaz;New Moon: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #2);en-US;4.34;82399;83068;191
1110;Colleen Hoover;Maybe Someday (Maybe, #1);eng;4.33;81707;121054;14224
1111;Jane Green;Mr. Maybe;eng;3.41;78132;79157;877
1112;L.M. Montgomery;Anne of the Island (Anne of Green Gables, #3);eng;4.21;97049;102242;2357
1113;Friedrich Nietzsche, Walter Kaufmann;Thus Spoke Zarathustra;eng;4.05;65362;79615;2185
1114;Elizabeth Gaskell, Alan Shelston;North and South;eng;4.13;95274;106167;5470
1115;Jaycee Dugard;A Stolen Life;en-US;3.89;72713;80357;6978
1116;Amish Tripathi;The Immortals of Meluha (Shiva Trilogy, #1);eng;4.0;62784;70458;4023
1117;Michael Crichton;The Lost World (Jurassic Park, #2);eng;3.72;83389;92767;2426
1118;Lauren Oliver;Requiem (Delirium, #3);eng;3.74;100593;109040;12202
1119;Robert Jordan;A Crown of Swords (Wheel of Time, #7);eng;4.0;86421;93771;1517
1120;Aesop, Laura Harris, Laura Gibbs;Aesop's Fables;eng;4.05;88508;98962;1441
1121;Cormac McCarthy;Blood Meridian, or the Evening Redness in the West;eng;4.18;71095;79519;7307
1122;Becca Fitzpatrick;Finale (Hush, Hush, #4);eng;4.22;107569;112153;7499
1123;Stephen King;Skeleton Crew;eng;3.93;82320;88036;1251
1124;Chuck Palahniuk;Lullaby;;3.73;66713;76680;2586
1125;Chetan Bhagat;2 States: The Story of My Marriage;eng;3.42;67866;69282;2421
1126;Matsuri Hino, Tomo Kimura;Vampire Knight, Vol. 1 (Vampire Knight, #1);eng;4.1;89733;90130;1192
1127;Jim Butcher;Summer Knight (The Dresden Files, #4);eng;4.3;91012;98512;3137
1128;Anne McCaffrey, Teodor PanasiÅ„ski;Dragonflight (Dragonriders of Pern, #1);eng;4.1;95378;101637;2385
1129;John D. Rateliff, J.R.R. Tolkien;The History of the Hobbit, Part One: Mr. Baggins;eng;3.81;108399;108445;46
1130;Colleen Hoover;Ugly Love;eng;4.3;107583;116301;15257
1131;Joanne Harris;Chocolat (Chocolat, #1);eng;3.95;84770;93092;3437
1132;Jay Anson;The Amityville Horror;eng;3.82;80959;83364;1567
